from_node,from_lgd,from_lad,from_district,to_node,to_lgd,to_lad,to_district,car_distance,car_duration
0,116.994747,36.666401,市中区,78,117.048218,36.696825,天桥区,8008,1620
0,116.994747,36.666401,市中区,79,116.996165,36.673545000000004,天桥区,1902,600
0,116.994747,36.666401,市中区,80,117.01192,36.708385,天桥区,8174,1500
0,116.994747,36.666401,市中区,81,116.90175,36.642039000000004,槐荫区,11161,1800
0,116.994747,36.666401,市中区,83,116.991673,36.630402000000004,市中区,5416,1320
0,116.994747,36.666401,市中区,84,116.997865,36.633656,市中区,4408,1080
0,116.994747,36.666401,市中区,86,116.972934,36.709604999999996,天桥区,7873,1440
0,116.994747,36.666401,市中区,89,116.997504,36.708535999999995,天桥区,5383,1800
0,116.994747,36.666401,市中区,90,117.17031,36.680851000000004,历城区,25870,2460
0,116.994747,36.666401,市中区,91,117.17031,36.680851000000004,历城区,25870,2460
0,116.994747,36.666401,市中区,92,116.965377,36.660064,槐荫区,4068,1020
0,116.994747,36.666401,市中区,93,116.957197,36.634128000000004,市中区,7063,1440
0,116.994747,36.666401,市中区,94,116.953086,36.588365,市中区,18548,2340
0,116.994747,36.666401,市中区,95,116.965377,36.660064,槐荫区,4068,1020
0,116.994747,36.666401,市中区,96,117.122067,36.628805,历下区,23073,2460
0,116.994747,36.666401,市中区,97,116.989182,36.649531,市中区,3815,960
0,116.994747,36.666401,市中区,98,116.992771,36.686972,天桥区,3235,1140
0,116.994747,36.666401,市中区,99,116.957994,36.626792,市中区,7764,1620
0,116.994747,36.666401,市中区,100,117.031464,36.714684000000005,天桥区,8767,1500
0,116.994747,36.666401,市中区,101,116.983,36.617129,市中区,6710,1380
0,116.994747,36.666401,市中区,102,116.983,36.617129,市中区,6710,1380
0,116.994747,36.666401,市中区,103,116.988296,36.663299,槐荫区,2219,660
0,116.994747,36.666401,市中区,104,116.987591,36.666086,槐荫区,1890,540
0,116.994747,36.666401,市中区,105,116.987591,36.666086,槐荫区,1890,540
0,116.994747,36.666401,市中区,106,116.990208,36.654436,槐荫区,2517,660
0,116.994747,36.666401,市中区,107,116.988422,36.662896,槐荫区,2176,660
1,117.069578,36.648728000000006,历下区,0,116.994747,36.666401,市中区,12744,1860
1,117.069578,36.648728000000006,历下区,2,117.062864,36.663218,历下区,6171,840
1,117.069578,36.648728000000006,历下区,4,117.048409,36.697778,天桥区,12314,1260
1,117.069578,36.648728000000006,历下区,5,117.051526,36.695595000000004,历城区,10115,900
1,117.069578,36.648728000000006,历下区,6,117.153804,36.721932,历城区,15754,1080
1,117.069578,36.648728000000006,历下区,7,117.121461,36.703538,历下区,11038,1500
1,117.069578,36.648728000000006,历下区,8,117.070868,36.637459,历下区,2869,420
1,117.069578,36.648728000000006,历下区,9,117.126074,36.694953000000005,历下区,10250,1320
1,117.069578,36.648728000000006,历下区,10,117.09384,36.6837,历下区,6740,1260
1,117.069578,36.648728000000006,历下区,11,117.064583,36.641108,历下区,5735,780
1,117.069578,36.648728000000006,历下区,12,117.163628,36.642128,历城区,11734,1080
1,117.069578,36.648728000000006,历下区,13,117.070868,36.637459,历下区,2869,420
1,117.069578,36.648728000000006,历下区,14,117.086406,36.689336,历城区,6107,1200
1,117.069578,36.648728000000006,历下区,16,117.086164,36.660938,历下区,4945,840
1,117.069578,36.648728000000006,历下区,19,117.18431,36.717987,历城区,20086,1320
1,117.069578,36.648728000000006,历下区,20,117.062807,36.66188,历下区,6029,780
1,117.069578,36.648728000000006,历下区,21,117.035727,36.693381,天桥区,12712,1560
1,117.069578,36.648728000000006,历下区,25,117.030139,36.658433,历下区,8427,1320
1,117.069578,36.648728000000006,历下区,26,117.074,36.654875,历下区,4329,540
1,117.069578,36.648728000000006,历下区,27,117.04975,36.696699,天桥区,12307,1260
1,117.069578,36.648728000000006,历下区,28,117.064795,36.706972,历城区,11381,1080
1,117.069578,36.648728000000006,历下区,29,117.000859,36.671890999999995,天桥区,15943,1740
1,117.069578,36.648728000000006,历下区,30,116.95123,36.64282,槐荫区,14664,2460
1,117.069578,36.648728000000006,历下区,31,117.00569,36.663952,市中区,12141,1740
1,117.069578,36.648728000000006,历下区,32,117.005183,36.652332,市中区,10344,1440
1,117.069578,36.648728000000006,历下区,33,116.951529,36.657783,槐荫区,26202,1740
1,117.069578,36.648728000000006,历下区,34,116.828558,36.629391,槐荫区,35379,2700
1,117.069578,36.648728000000006,历下区,35,117.119999,36.651216,槐荫区,5394,540
1,117.069578,36.648728000000006,历下区,36,116.970882,36.66494,槐荫区,18347,2100
1,117.069578,36.648728000000006,历下区,37,116.916841,36.649798,槐荫区,26925,1860
1,117.069578,36.648728000000006,历下区,38,116.949288,36.627185,市中区,22831,1740
1,117.069578,36.648728000000006,历下区,39,116.949288,36.627185,市中区,22831,1740
1,117.069578,36.648728000000006,历下区,40,116.951462,36.625254,市中区,21501,2160
1,117.069578,36.648728000000006,历下区,41,116.958609,36.630772,市中区,21713,2040
1,117.069578,36.648728000000006,历下区,42,116.947722,36.644822999999995,市中区,24519,1740
1,117.069578,36.648728000000006,历下区,43,116.958212,36.627317,市中区,21412,2100
1,117.069578,36.648728000000006,历下区,44,116.96144,36.642956,槐荫区,27242,1920
1,117.069578,36.648728000000006,历下区,45,116.949288,36.627534000000004,市中区,22831,1740
1,117.069578,36.648728000000006,历下区,46,116.976251,36.642716,槐荫区,13727,2160
1,117.069578,36.648728000000006,历下区,47,116.950418,36.658393,槐荫区,26570,1800
1,117.069578,36.648728000000006,历下区,48,116.950418,36.658393,槐荫区,26570,1800
1,117.069578,36.648728000000006,历下区,49,116.953086,36.588365,市中区,22382,1860
1,117.069578,36.648728000000006,历下区,50,116.953086,36.588365,市中区,22382,1860
1,117.069578,36.648728000000006,历下区,51,116.961682,36.655095,槐荫区,27326,1980
1,117.069578,36.648728000000006,历下区,52,116.95133,36.654090000000004,槐荫区,26191,1740
1,117.069578,36.648728000000006,历下区,53,116.947722,36.644822999999995,市中区,24519,1740
1,117.069578,36.648728000000006,历下区,54,117.116888,36.686780999999996,历下区,9364,1140
1,117.069578,36.648728000000006,历下区,55,117.153804,36.721932,历城区,15754,1080
1,117.069578,36.648728000000006,历下区,56,117.153804,36.721932,历城区,15754,1080
1,117.069578,36.648728000000006,历下区,57,117.035713,36.658501,历下区,8428,1320
1,117.069578,36.648728000000006,历下区,58,117.153804,36.721932,历城区,15754,1080
1,117.069578,36.648728000000006,历下区,59,116.962667,36.652621999999994,槐荫区,26952,1860
1,117.069578,36.648728000000006,历下区,60,116.956186,36.628917,市中区,21928,2100
1,117.069578,36.648728000000006,历下区,61,116.99333,36.623719,市中区,15803,1560
1,117.069578,36.648728000000006,历下区,62,116.962833,36.650881,槐荫区,27163,1860
1,117.069578,36.648728000000006,历下区,63,116.985319,36.682032,天桥区,17012,1440
1,117.069578,36.648728000000006,历下区,64,117.21504,36.857576,槐荫区,36692,2340
